Original Size,Converted Size,Pass?
5,18,TRUE
5,60,TRUE
5,489,TRUE
5,60,TRUE
5,126,TRUE
5,320,TRUE
5,392,TRUE
5,156,TRUE
5,380,TRUE
5,411,TRUE
5,197,TRUE
5,24,TRUE
5,214,TRUE
6,216,TRUE
6,627,TRUE
6,300,TRUE
6,344,TRUE
6,163,TRUE
6,111,TRUE
6,669,TRUE
6,703,TRUE
6,63,TRUE
6,432,TRUE
6,344,TRUE
7,548,TRUE
7,32,TRUE
7,985,TRUE
7,154,TRUE
7,171,TRUE
7,109,TRUE
7,174,TRUE
7,634,TRUE
8,725,TRUE
8,1518,TRUE
8,1080,TRUE
8,1174,TRUE
8,542,TRUE
8,158,TRUE
8,1013,TRUE
8,468,TRUE
9,1674,TRUE
9,127,TRUE
9,1175,TRUE
9,1159,TRUE
9,1323,TRUE
9,272,TRUE
9,81,TRUE
9,314,TRUE
9,1689,TRUE
9,351,TRUE
9,1040,TRUE
9,2130,TRUE
10,2071,TRUE
10,2479,TRUE
10,1197,TRUE
10,690,TRUE
10,3154,TRUE
10,160,TRUE
10,243,TRUE
10,159,TRUE
10,440,TRUE
11,2710,TRUE
11,122,TRUE
11,436,TRUE
11,77,TRUE
11,3465,TRUE
11,139,TRUE
11,1686,TRUE
11,2962,TRUE
11,152,TRUE
11,2347,TRUE
12,1870,TRUE
12,200,TRUE
12,1524,TRUE
12,3442,TRUE
12,356,TRUE
12,1237,TRUE
12,2872,TRUE
12,3991,TRUE
12,52,TRUE
12,2854,TRUE
13,638,TRUE
13,3180,TRUE
13,3903,TRUE
13,3006,TRUE
13,5905,TRUE
13,4203,TRUE
13,3321,TRUE
13,2014,TRUE
13,1866,TRUE
13,2901,TRUE
13,661,TRUE
14,232,TRUE
14,2237,TRUE
14,2622,TRUE
14,4720,TRUE
14,6009,TRUE
14,8032,TRUE
14,666,TRUE
14,62,TRUE
